85,சுதந்திர பூமியில் வெள்ளை நாரைகள்- 1,கோவி மணிசேகரன்,வானதி பதிப்பகம்,1986
86,சுதந்திர பூமியில் வெள்ளை நாரைகள்- 2,கோவி மணிசேகரன்,வானதி பதிப்பகம்,1986
87,சந்திரோதயம் ,கோவி மணிசேகரன்,பூம்புகார் பதிப்பகம் ,2009
88,சரித்திரக் கதைகள் - 3,கோவி மணிசேகரன்,தேவி பிரசுரம்,2007
89,தேவதேவி,கோவி மணிசேகரன்,வள்ளுவர் பண்ணை,1997
90,நந்திவர்மன் ,கோவி மணிசேகரன்,பூம்புகார் பதிப்பகம் ,2010
91,ராஜ கர்ஜணை,கோவி மணிசேகரன்,திருமகள் நிலையம்,1990
92,ராஜமோகினி,கோவி மணிசேகரன்,வள்ளுவர் பண்ணை,1985
93,ராஜராகம் ,கோவி மணிசேகரன்,பூம்புகார் பதிப்பகம் ,2009
94,ராஜதரங்கிணி,கோவி மணிசேகரன்,வானதி பதிப்பகம்,1990
95,வராக நதிக்கரையில்,கோவி மணிசேகரன்,கங்கை புத்தகநிலையம்,1999
96,ராஜா கங்கணம்,கௌதம நீலாம்பரன்,வானதி பதிப்பகம்,1988
97,ஈழவேந்தன் சங்கிலி,கௌதம நீலாம்பரன்,சாரதா பதிப்பகம்,2000
98,ஈழவேந்தன் சங்கிலி,கௌதம நீலாம்பரன்,சாரதா பதிப்பகம்,2006
99,கலிங்கா மோகினி,கௌதம நீலாம்பரன்,கங்கை புத்தகநிலையம்,1999
100,கௌதம நீலாம்பரன் - தொகுப்பு 1,கௌதம நீலாம்பரன்,ஸ்ரீ செண்பகா பதிப்பகம்,2012
101,கௌதம நீலாம்பரன் - தொகுப்பு 2,கௌதம நீலாம்பரன்,,
102,கௌதம நீலாம்பரன் - தொகுப்பு 3,கௌதம நீலாம்பரன்,ஸ்ரீ செண்பகா பதிப்பகம்,2008
103,சாணக்கியரின் காதல்,கௌதம நீலாம்பரன்,சாரதா பதிப்பகம்,2005
104,சோழ வேங்கை,கௌதம நீலாம்பரன்,சாரதா பதிப்பகம்,2005
105,நீலவேணி - 2,கௌதம நீலாம்பரன்,வானதி பதிப்பகம்,1987
106,பல்லவன் தந்த அரியணை ,கௌதம நீலாம்பரன்,சாரதா பதிப்பகம்,2000
107,பூ மரப்பாவை ,கௌதம நீலாம்பரன்,திருவரசு புத்தகநிலையம்,2011
108,மன்னன் மாடத்து நிலவு,கௌதம நீலாம்பரன்,வானதி பதிப்பகம்,1995
109,மாசிடோனிய மாவீரன்,கௌதம நீலாம்பரன்,நிவேதிதா பதிப்பகம்,2004
110,விஜயநந்தினி,கௌதம நீலாம்பரன்,சாரதா பதிப்பகம்,2004
111,வெற்றி மகுடம்,கௌதம நீலாம்பரன்,கங்கை புத்தகநிலையம்,1996
112,வேங்கை விஜயம் ,கௌதம நீலாம்பரன்,கங்கை புத்தகநிலையம்,2004
113,விக்ரமன் காதலி ,சரோஜாசண்முகம்,தமிழன் நிலையம்,1999
114,கடல் புறா- 1,சாண்டில்யன்,வானதி பதிப்பகம்,2002
115,கடல் புறா- 2,சாண்டில்யன்,வானதி பதிப்பகம்,2002
116,கடல் புறா- 3,சாண்டில்யன்,வானதி பதிப்பகம்,2002
117,கடல் ராணி,சாண்டில்யன்,வானதி பதிப்பகம்,2016
118,கடல் ராணி ,சாண்டில்யன்,,
